GISJOIN,Avg_Life_Expect,se,Abridged_life_table_flag
G3600470045200,84.3,1.7475,3
G3600470103400,72,1.3045,3
G3600470067400,79.8,1.418,2
G3600470024800,82.4,2.1331,3
G3600470025000,78.7,1.4643,2
G3600810093402,84.4,3.0242,3
G3600470012700,74.8,1.7695,3
G3600470026200,82.6,2.103,3
G3600810053500,77.7,2.7296,2
G3600470025200,83.1,1.9802,3
G3600470065000,,,
G3600470004100,77.8,1.4762,3
G3600470041402,80.3,1.918,3
G3600470057900,,,
G3600470008000,77.7,1.8307,3
G3600470001500,81.5,3.4262,3
G3600470012000,76,2.3444,2
G3600470074600,86.7,3.9948,3
G3600470044600,80.9,1.0756,2
G3600470093200,78.4,3.2577,2
G3600470072400,79.3,1.6132,2
G3600470067800,82.1,2.3643,3
G3600470013500,80.8,2.622,3
G3600470057400,82.2,1.6831,3
G3600470025400,88.5,3.2604,3
G3600470084000,78.7,2.4374,3
G3600470007400,82.9,3.4813,3
G3600470027600,81.2,1.8839,3
G3600470029800,82.6,3.2114,3
G3600470041200,80.8,1.7462,3
G3600470044400,82.1,1.6783,3
G3600810020500,79.3,3.8868,3
G3600470084600,78.1,1.1499,2
G3600470003900,81.2,2.0526,2
G3600470018700,82.2,2.5489,2
G3600470064200,87,2.7806,3
G3600470015300,82.2,1.5433,3
G3600470094401,78.1,1.5166,2
G3600470069601,84.6,2.9444,3
G3600470003100,81.1,1.5928,3
G3600470047000,88.2,2.6814,3
G3600470072200,86.6,3.3942,3
G3600470004300,77.8,2.3491,3
G3600470037000,80.9,1.2476,3
G3600470067600,78.6,1.3892,2
G3600470017700,,,
G3600470026400,83.9,2.4139,3
G3600470036400,85.6,2.8611,3
G3600470072800,78.6,1.0009,2
G3600470059402,81.5,0.7952,2
G3600470028400,82,1.6936,3
G3600610031703,85.8,1.4771,3
G3600470026000,83,2.1233,3
G3600470016500,81.6,1.4169,2
G3600470041600,86.9,3.4406,3
G3600470029000,83.1,1.4297,3
G3600810107201,75.8,1.4817,3
G3600470072000,78.1,1.3562,2
G3600810093800,72.1,1.2367,3
G3600470061003,80.6,1.8436,2
G3600470040400,82.3,3.0262,3
G3600470012200,82.8,2.666,3
G3600470028800,81.5,2.4742,3
G3600470058400,80.2,1.7205,3
G3600470058200,77.9,1.864,3
G3600470003700,,,
G3600470073800,79.6,1.873,3
G3600470024200,91.9,3.5398,3
G3600470094402,,,
G3600470046201,87.1,2.5629,3
G3600470045800,85.6,2.9407,3
G3600470073000,83.9,2.873,3
G3600470013300,81.9,1.7994,3
G3600470058800,82.9,1.7855,3
G3600470059000,80.3,1.5765,3
G3600470059401,79.8,1.2618,3
G3600470015500,85.7,3.8842,3
G3600470074400,82.7,2.1981,3
G3600470047200,84.2,2.1334,3
G3600810053100,81.4,2.427,3
G3600470060600,82,1.8955,3
G3600470059100,78.8,1.5453,3
G3600470059200,78.9,0.7804,2
G3600470075600,81.4,1.7819,3
G3600610001502,81.8,3.2296,2
G3600470043600,84.9,2.2445,3
G3600470007800,81.5,3.4593,3
G3600470000900,86.6,3.7705,3
G3600470045400,80.1,2.1131,3
G3600470056200,81.1,2.4091,2
G3600470057300,80.3,3.1361,3
G3600470042200,81,1.4662,3
G3600470051700,82.6,2.8828,2
G3600470013100,82.2,2.1362,2
G3600470073600,77.7,1.9577,1
G3600470083800,79.3,1.5263,2
G3600470044000,82.7,1.6504,3
